maxX,minX,avgX,stdX,maxY,minY,avgY,stdY,maxZ,minZ,avgZ,stdZ,maxACC,minACC,avgACC,stdACC,XYcorr,XZcorr,YZcorr,energy
0.653220776,0.629593643,0.642296683,0.005516696,-0.058372918,-0.113966173,-0.086419716,0.011586357,-0.711593673,-0.735220816,-0.720182843,0.005106103,0.979023524,0.957799547,0.968943363,0.003559735,-0.340280663,0.546152617,-0.44219228,1.903821197
0.653220776,0.629593643,0.641045833,0.004141612,-0.058372918,-0.113966173,-0.076941065,0.010185151,-0.715763163,-0.735220816,-0.722212001,0.004153004,0.979023524,0.957799547,0.968801255,0.003091318,-0.311832824,0.489733641,-0.263297702,1.89827426
0.726881806,0.535085102,0.635125152,0.030027933,0.179288255,-0.109796684,-0.067907161,0.038130406,-0.699085204,-1.078509184,-0.735498785,0.053026638,1.312891274,0.947365609,0.975527913,0.049106043,0.225173956,-0.11138945,-0.943382347,2.527912611
0.726881806,-0.176508582,0.461646399,0.245135038,0.179288255,-1.074339694,-0.350209714,0.376327147,0.301593418,-1.078509184,-0.530165086,0.376523373,1.312891274,0.789172158,0.971684694,0.097319223,0.931913951,-0.93680613,-0.931980577,2.816619385
0.726881806,-0.405830776,0.191713344,0.270545569,0.179288255,-1.774814796,-0.766158455,0.381106215,0.418339286,-1.078509184,-0.182596045,0.404187568,1.995595685,0.509023736,0.987322972,0.240016586,0.514435517,-0.782804013,-0.691066775,4.561795046
0.489220663,-0.405830776,0.044669181,0.196175227,-0.148711959,-1.774814796,-0.939303657,0.330233885,0.418339286,-0.843627653,0.013675942,0.249156802,1.995595685,0.405683182,0.992099127,0.328321231,-0.347240842,-0.369856983,-0.008581632,5.762622195
0.323830714,-0.426678224,-0.007199327,0.151498696,-0.148711959,-1.677526531,-0.927100932,0.289486172,0.515627449,-0.703254694,0.088587853,0.217826038,1.787626875,0.405683182,0.96768852,0.289462801,-0.282476741,-0.309416415,-0.181714229,5.110315136
0.284915429,-0.426678224,-0.046170199,0.154484451,-0.496169796,-1.867933469,-0.95859451,0.230085631,0.515627449,-0.711593673,0.137343138,0.253201299,2.000566172,0.512746067,1.011931033,0.234719261,-0.273187294,0.047657197,0.090719265,4.648967345
0.207084878,-0.571220714,-0.129560084,0.167421754,-0.496169796,-1.867933469,-0.935467723,0.180074859,0.426678224,-0.711593673,0.108462441,0.26047973,2.000566172,0.512746067,0.996899103,0.190548379,-0.22029443,-0.04506673,0.2360036,4.148890548
0.328000204,-0.571220714,-0.10568278,0.176987771,-0.355796837,-1.837357143,-0.921124655,0.210163381,0.426678224,-0.629593643,0.103514643,0.219068404,1.915176097,0.402067434,0.975031592,0.20374743,-0.164786087,-0.28081852,-0.204136571,4.439664109
0.328000204,-0.355796837,-0.030770867,0.132591576,-0.258508633,-1.837357143,-0.94739246,0.256671054,0.44891551,-0.629593643,0.109101765,0.195823501,1.915176097,0.321997266,0.984797793,0.247326673,-0.085708473,-0.281582632,-0.304156449,4.833789712
0.508678296,-0.37942398,-0.030993239,0.174937732,-0.258508633,-1.837357143,-0.970380273,0.289942895,0.44891551,-0.726881806,0.064321398,0.256622273,1.915176097,0.321997266,1.020474842,0.289759533,-0.322549232,-0.411382527,0.008025493,5.549641172
0.508678296,-0.37942398,-0.022292895,0.164730405,-0.386373122,-1.813729898,-0.934383644,0.280899542,0.422508776,-0.726881806,0.050367491,0.265838145,1.881555497,0.438801705,0.981990858,0.294467651,-0.205326477,-0.407183452,0.096638976,5.199763977
0.489220663,-0.446135918,-0.034968159,0.179564392,-0.328000204,-1.813729898,-0.947670437,0.288361014,0.532305439,-0.496169796,0.066823095,0.242866151,1.881555497,0.365441092,0.994460285,0.295731402,-0.163667003,-0.242346476,0.044988204,5.508563768
0.489220663,-0.446135918,-0.008477972,0.185096661,-0.328000204,-1.774814796,-0.973938251,0.288123948,0.532305439,-0.699085204,0.097649555,0.262063811,1.907736967,0.365441092,1.024880402,0.303075633,-0.147336899,-0.230752866,0.069862328,5.401820573
0.293254418,-0.535085102,-0.051340373,0.17834557,-0.461424031,-1.774814796,-0.956481981,0.231817776,0.515627449,-0.699085204,0.146238059,0.241822394,1.907736967,0.472465009,1.012467458,0.236757496,-0.060121175,0.048725498,-0.108229441,4.752727083
0.375254469,-0.535085102,-0.046031216,0.183126457,-0.277966286,-1.833187653,-0.964737581,0.274451331,0.364135816,-0.699085204,0.089254973,0.269121277,1.942056061,0.491302941,1.022321364,0.273530106,-0.437261949,-0.051704489,0.141781842,5.213979423
0.375254469,-0.433627388,-0.043918673,0.169437793,-0.277966286,-1.833187653,-0.937246706,0.274887023,0.355796837,-0.519796939,0.061319362,0.224325749,1.942056061,0.491302941,0.979143283,0.280125579,-0.451288685,-0.303721591,0.122865031,4.87449711
0.312712071,-0.403051112,-0.061680718,0.134341274,-0.492000337,-1.528814592,-0.956732141,0.191984274,0.394712122,-0.390542622,0.105154643,0.17726967,1.586874705,0.499346154,0.987755286,0.19985037,-0.270558532,-0.18383164,-0.047342151,4.020934548
